"5%","50%","95%","mean","stdv","BandName"
77.3399245019895,117.384175525385,159.42716171868,116.943519767805,25.6130753095768,"Intercept"
-1364.34251667803,-725.580515768384,676.046692796915,-581.475291066982,617.37504104024,"X1100"
-2187.81643585165,-1586.41291683473,-208.086609988069,-1452.58440758139,610.080268177568,"X1120"
-633.79439420552,-99.0176942061093,752.924592495693,-36.485731709714,439.690233490091,"X1140"
669.703582480632,1719.27124925835,3008.78034083564,1775.50456742151,725.924346121162,"X1160"
-85.2902168096295,922.818754468,2059.52613155416,926.84522424032,653.002721626856,"X1180"
-2294.86791781231,-1071.30436012192,-5.1066625834576,-1118.34612888467,698.618617695589,"X1200"
-1437.73550770668,-584.201196252825,45.5888711343574,-626.32630682443,456.272153386825,"X1220"
-630.487366917093,-13.4204562193657,405.910898718829,-52.2723565668007,312.624983305744,"X1240"
-486.506594433481,48.4205270288699,594.519253637926,49.1710583177865,336.795547765147,"X1260"
-1562.69073813562,-685.131520835977,58.2603331205219,-706.25272774715,499.317941729387,"X1280"
-1100.25815721626,-247.280698120872,508.240401610847,-277.680940152027,501.700044183293,"X1300"
-348.005246248661,395.827851494613,1048.59379517261,379.483748292584,405.674625397535,"X1320"
346.637381185894,868.990404377654,1463.96619661509,880.660361352742,331.589248430218,"X1340"
148.132578935397,832.678993917422,1525.2828319394,845.163492869798,416.048429040026,"X1360"
-1014.32716098575,67.6568534105165,895.293614014066,7.78446082486344,586.075542653678,"X1380"
-2559.33528213354,-1702.33476480191,-614.898699727775,-1663.27821005341,587.744012256741,"X1400"
-1224.02938060014,-426.878711974581,419.99050675621,-393.482880850104,505.390686541704,"X1420"
-1715.38009840853,-897.255679461719,-137.819342165715,-891.851616451859,493.954757592373,"X1440"
-2149.23681546555,-1286.88697337985,-487.564392380525,-1318.22149391265,506.221914924262,"X1460"
-1815.74561390005,-1095.40029534206,-466.578096303227,-1113.12770029458,416.587458014225,"X1480"
-1624.82027363503,-888.878514690159,-211.250668266841,-902.23654779757,437.036489710923,"X1500"
-1190.61327152234,-265.943579302451,500.858871118692,-283.696808434765,507.311327106906,"X1520"
-262.280533385258,436.052527196645,1139.87269719414,437.627400580602,432.006582804099,"X1540"
565.768661082751,1152.30734454484,1727.35779377188,1145.7841852649,338.64206634385,"X1560"
1004.86750460708,1699.50502744756,2449.70782526611,1716.02581036261,458.77962589415,"X1580"
1076.29312105161,1913.55870536426,2827.85424810678,1921.6762626381,542.743454394605,"X1600"
1456.59927364493,2165.28327180899,3001.89392967037,2175.85179744362,464.2240367259,"X1620"
-736.069632410622,96.8884405374746,1118.6830252312,136.966301858045,559.494718641904,"X1640"
-2741.64366003321,-1665.8597847481,-460.783044826813,-1634.61276842629,689.814328172724,"X1660"
-2727.89971064703,-1782.17322744434,-803.12003699489,-1772.14197470593,592.381640082709,"X1680"
-2756.87396978409,-2031.33675405947,-1110.46149556091,-1986.13263879125,517.719245102301,"X1700"
-2951.53109386315,-2340.01848148221,-1750.69644036777,-2346.71738005346,362.994472472465,"X1720"
-2632.36760176275,-1786.87285522873,-1070.1679651879,-1797.10456514334,479.210432157794,"X1740"
-568.006016948276,46.7939233647238,741.44286081909,60.004394944428,391.999271673055,"X1760"
-318.584173067347,320.993066480478,1443.78527722896,416.696831160268,539.052732906177,"X1780"
595.901657469598,1181.59410706744,1871.77718276374,1195.72951903841,388.625072435633,"X1800"
-262.230472199268,459.794390692394,1091.91778034456,450.81959106406,412.383689620214,"X1820"
-1113.77637872259,-159.488413959866,596.043515178823,-200.671783705649,521.761134189752,"X1840"
856.090337547809,1681.90181897716,2370.27057047903,1652.99913623906,463.272354753359,"X1860"
-320.769540412871,744.286235464531,1635.78713883303,717.751669545136,586.096433194039,"X1880"
1178.63810364712,2265.22053606129,3409.55247840109,2250.85315971639,689.12771358759,"X1900"
-438.178236247606,201.672750506844,890.356281731667,199.105825978295,415.251228593231,"X1920"
-2040.12171324451,-1208.18770955373,-237.916892606038,-1185.04399362637,544.204184889819,"X1940"
-2572.47126410876,-1735.20421776421,-731.281870640476,-1718.5204829893,555.467864498497,"X1960"
-2405.54847995504,-1722.75342519064,-1163.92807539436,-1746.17060845535,370.314837125125,"X1980"
-1804.27451888236,-1296.38364849926,-800.858069374257,-1280.56739344191,306.989212000342,"X2000"
-810.033266066115,-259.484553096338,292.189674505669,-251.363780493317,325.587574135122,"X2020"
-101.373542892802,475.62079072315,1013.56286481934,470.356212772183,343.939970865119,"X2040"
837.72593600971,1399.97986570336,2074.49295741377,1424.59744902639,381.222989955842,"X2060"
1170.36917538947,1822.63049195074,2540.15616662661,1824.78972415552,412.483652009249,"X2080"
676.845321285744,1580.45651192036,2258.46364389951,1549.78550066157,473.400999161724,"X2100"
-643.483821997502,219.221043219477,988.243402389629,194.971418124366,506.841672405727,"X2120"
-1911.57953932906,-829.207075971366,-171.75020367566,-900.338394431377,542.312375860359,"X2140"
531.906291810367,1293.52620316936,2077.35674010357,1309.34521400472,465.408458510393,"X2160"
635.197195723179,1324.26135025532,2133.76542423582,1355.67728778804,473.427950588795,"X2180"
238.919202832745,906.355823433701,1598.67899216501,921.626036433504,434.106120930404,"X2200"
414.492980302163,1102.58002304526,2045.13588986072,1152.74747743955,503.442376810777,"X2220"
-2526.45336297871,-1379.35967650146,-310.76701020512,-1404.13239685945,687.24589239688,"X2240"
-6814.10767189572,-5250.21768786864,-3902.01370098098,-5323.10208160851,883.191637208709,"X2260"
-3321.80002702899,-2421.22590875791,-1658.20786210436,-2443.32570046479,497.184076693875,"X2280"
