"5%","50%","95%","mean","stdv","BandName"
257.265473434755,304.859058274805,378.366253403316,309.258325914826,34.7111943340209,"Intercept"
294.620775691431,3172.41484050274,6169.29294536505,3214.46794518743,1716.86808211471,"X400"
-3622.10342747195,-1337.09980037049,1194.38905165468,-1303.79371487274,1435.51139300993,"X420"
2097.35847279354,3341.64510744213,4464.91058551697,3334.76138183813,708.532852597686,"X440"
1391.39593574745,2436.21295680761,3375.97048393591,2426.34307867437,603.213522333859,"X460"
1436.05913336562,2350.68718402238,3300.5255670934,2358.42293655474,571.356754918633,"X480"
-5122.45510139246,-4053.15367078281,-3146.55191521878,-4099.72996025706,595.231493559602,"X500"
-26097.2794084473,-22635.5193766216,-19540.07182588,-22747.7681767866,1964.15579699354,"X520"
-6018.39482292581,-4246.70941881063,-2286.74676957439,-4219.4262877188,1113.6599034966,"X540"
10251.7118161812,12001.4413400135,13619.4001684612,11986.5224459788,1032.33820235155,"X560"
8153.87358738641,9511.14189455775,10500.7395934093,9445.62393073077,716.813180987436,"X580"
6499.02965432631,8121.2718241594,9304.01205963591,8064.54028876504,860.127156607464,"X600"
-734.397334381516,996.33005783642,2473.15629539341,937.160009116331,933.143129112976,"X620"
1102.82277061407,2995.79079181305,4497.84201226022,2913.90649857889,997.861359377328,"X640"
-372.027104229152,1298.73015438963,2615.57839617458,1232.94799183354,952.163682420251,"X660"
-4766.85771853545,-3151.50871701075,-1557.49057602496,-3167.12566620505,985.678113189484,"X680"
-16316.1530373973,-14558.6468016398,-12344.7355669309,-14443.8064594449,1277.24575059152,"X700"
142.067994616044,2219.29800146978,4573.4859378485,2279.06761544674,1373.3890858576,"X720"
-4265.54663703503,-3317.23940101001,-2375.26290487972,-3320.34924908735,573.225994317072,"X740"
-6272.89559879857,-4984.19590617715,-3294.41271395926,-4938.30267598098,899.844333028271,"X760"
