"5%","50%","95%","mean","stdv","BandName"
-7.07943336222877,45.4146351715641,108.1700350003,46.9050698799093,34.5403620257806,"Intercept"
8230.94007948764,11363.441623947,14582.9704399441,11425.0649902721,2009.87199721404,"X1200"
155.239549204367,1931.49497159585,3761.53440684383,1930.08735065913,1101.47555840763,"X1220"
-3542.74938242258,-2540.13473835858,-1689.58156237303,-2577.73959797232,597.250609581026,"X1240"
-5614.20024496966,-3983.74854763524,-2630.8385957906,-4071.03019045401,936.583301854157,"X1260"
-6138.46924323442,-4070.68633733324,-2246.85681630561,-4104.38423034031,1167.09550381332,"X1280"
-3936.71533129774,-2354.75137510592,-769.544913226821,-2367.3503881006,991.151379196842,"X1300"
-2486.16782884403,-983.348616929721,800.921490977549,-930.488796283505,1017.25132031338,"X1320"
-881.406557022923,1291.30612597321,3869.06175373953,1413.81944684907,1438.07342929649,"X1340"
-7632.29770481526,-5674.72146598596,-2452.32921522963,-5381.54609717757,1570.63342807886,"X1360"
-2196.52681754658,-512.69690305082,1484.15992946815,-432.971813853962,1114.66405986288,"X1380"
2420.93791680276,5039.67837660914,7082.45586863867,4910.47571715182,1425.33833346684,"X1400"
3235.05241236332,5433.46602041363,7174.71963042176,5379.69708573875,1278.63130585824,"X1420"
3597.6807620415,5424.65794744464,7374.08071572571,5455.63102701175,1182.56324025627,"X1440"
1091.3462346397,2428.39158692192,3965.86865473869,2473.81135736623,897.699377243806,"X1460"
-1804.39532877523,-642.977641089475,924.488530487369,-573.419287814656,838.185436974014,"X1480"
-5282.2555473829,-3305.5319930279,-1493.6889401653,-3317.47248566861,1102.76781996914,"X1500"
-6326.63335477756,-4116.3844493922,-2181.71964595949,-4131.45427233894,1171.38486804564,"X1520"
-4963.8685332922,-3317.51741263449,-1834.09378408465,-3354.46847853799,912.734115099506,"X1540"
-5987.11203007712,-4654.35520444187,-3502.16452701987,-4688.51012331649,760.461917771102,"X1560"
-12186.3414140846,-10089.9234386295,-8535.4015395211,-10198.0094370272,1052.67824697559,"X1580"
-12017.8492007729,-9954.14046436044,-7446.91854655899,-9882.76795892439,1320.88937326598,"X1600"
