"5%","50%","95%","mean","stdv","BandName"
-12.9118383699954,199.649150712524,367.736835167355,191.277426448541,116.234599940581,"Intercept"
-45940.9833065405,-33466.7163608894,-22498.1306314212,-33560.800456131,7303.48680852969,"X1200"
-12942.8746512731,-5784.08194290963,2608.16597785176,-5526.94774529298,4692.21299922669,"X1220"
3331.72042336461,7060.5258036763,13058.8598621945,7572.19868544385,2997.49625107165,"X1240"
10905.7112810809,15778.821398502,22554.6759484858,16092.5526013461,3461.55788675019,"X1260"
10774.7923648401,16993.1796644512,25408.4058297305,17344.7674932649,4472.59512035953,"X1280"
3901.2567621799,10500.0219936201,17597.5869429852,10711.9194616289,4289.29584152555,"X1300"
-20731.9989183814,-9600.22045461895,-1916.96876775672,-10249.7075389535,5681.00025106196,"X1320"
-34374.2686029968,-19880.8575178278,-9851.17102684872,-20792.2021402336,7475.33766966095,"X1340"
2145.97173569704,10231.270816758,16892.8573947647,9963.89725748725,4522.8625390314,"X1360"
2973.11198379581,10712.261711617,18238.8724518965,10591.0034176913,4676.87680234026,"X1380"
-8485.54895286316,436.266894080954,12249.6218891704,919.026313693616,6149.68816430147,"X1400"
-22365.1950950261,-13949.8179951282,-4316.52037318778,-13730.5073242713,5535.67936773393,"X1420"
-19685.0857729749,-12478.4731703016,-5773.40469892171,-12512.1839426794,4408.72053368495,"X1440"
-17736.9319394438,-9732.31619750669,-1782.36417050694,-9773.08717642637,4753.07096454791,"X1460"
-11075.1432771661,-4251.79218563626,2240.21790794622,-4314.49815194712,4062.29953249673,"X1480"
-1189.45237935451,5788.66426748549,12023.014929074,5701.84741243951,4012.0339528209,"X1500"
2571.64618587827,9397.61905012399,16428.01130882,9520.78413025824,4263.97605636078,"X1520"
-992.346633012637,3639.32940294287,8297.70436771098,3658.40993523187,2829.4794557005,"X1540"
190.22668784833,4879.39940072646,9174.10863925426,4851.33608592726,2852.78847083982,"X1560"
15877.4846635182,21959.0563832621,29761.0788621689,22257.1089614883,4342.65786147755,"X1580"
15720.0503815088,22154.6286628782,29738.304964181,22213.3187902767,4518.34664341194,"X1600"
-12617.9633706269,-4927.000258423,2051.24233612175,-4921.65144289639,4501.33169349816,"X1620"
-25193.4151207971,-17543.5678359071,-10831.3148385198,-17809.9335191507,4504.3056770756,"X1640"
-13553.438930662,-4023.39687571497,9364.8683035415,-3525.71816510678,7271.42965261515,"X1660"
-16287.1190801164,-5520.23963010863,4965.99321083701,-5605.32768364823,6252.4619287569,"X1680"
-24398.6698274648,-8933.86214887718,1883.23827649125,-9698.3707108677,8087.95818043789,"X1700"
-790.203665544043,8746.01429000687,19058.3208068199,8804.39831972675,5872.35676512599,"X1720"
-2151.01043023707,8735.13830927593,20134.0368360285,8751.7260532442,6945.53741544503,"X1740"
-25793.8486988652,-18093.3275917364,-11750.0978134559,-18428.2511251946,4316.36557146291,"X1760"
-37593.1613515705,-26655.7753929956,-17394.588541349,-27074.0837397042,6156.9145286814,"X1780"
-24746.3770049548,-15960.9685853087,-7857.62940051989,-16127.9801917899,5232.25639521835,"X1800"
4813.27525265669,11628.1477626101,21264.8059593101,12194.1403070488,5099.41780189159,"X1820"
12433.0449234776,23454.1503170275,37668.8814362609,23964.9908091915,7482.03103174007,"X1840"
-16382.4870109521,-9121.38150840578,-1083.39068917494,-9027.20993243144,4729.804223332,"X1860"
3832.55592188759,14411.002552463,24733.4112575049,14511.7711930779,6300.3385633382,"X1880"
-629.968475376404,14546.1350140442,25497.2946003035,13567.0274916601,8203.81107590577,"X1900"
1398.48674405381,8181.46254137384,16898.6845251686,8466.48096304332,4884.04607625802,"X1920"
-21493.1864469408,-11367.5336423906,-1276.06228503371,-11289.8382622746,6021.81596232896,"X1940"
-7088.12188111018,-239.968303786118,6491.84594888451,-199.682105894983,4442.23166561053,"X1960"
8552.99439731563,15714.8557093268,23917.9106248864,15898.6062977112,4574.12459909236,"X1980"
9602.54992242409,16851.2885868138,25293.0007828881,17095.8946907754,4906.04719535095,"X2000"
-2195.17737694811,2435.99436855508,8159.28168498949,2674.87109198973,3238.94063839288,"X2020"
-16737.4256041025,-10931.0854512676,-6444.313832998,-11095.294615494,3028.14897284734,"X2040"
-12586.6921383675,-5061.34848026474,685.072121108714,-5259.27358740379,4195.82232222948,"X2060"
804.928704601403,6777.38148055856,12720.8428923715,6737.10958357471,3641.94307473822,"X2080"
-11826.7491126572,-2293.99607476666,5473.50930175258,-2648.6597673734,5375.98085795427,"X2100"
-2701.24566834473,5313.39435734045,12143.4355904085,4985.25775219779,4422.42711601115,"X2120"
-6261.73359357851,2405.68743386206,9702.02288435945,2186.07044734387,4807.48750745617,"X2140"
-18881.611828018,-9992.55642605169,-2049.85024287249,-10157.9310697307,5158.44423485413,"X2160"
-9476.42568613493,-981.521491575664,8216.84226362117,-941.100501751414,5277.59363128403,"X2180"
-6893.15096856825,276.920590303246,9672.08213368019,707.922688562161,4893.00302249029,"X2200"
-44608.9020539595,-31471.6890610005,-22004.8139637137,-32383.0034481273,6801.16942927444,"X2220"
-12244.5309428561,-510.754598601549,11053.2580082836,-169.455525174972,6992.37045276776,"X2240"
57142.7103778685,71673.326800268,90918.5488972176,72504.4748363399,9990.28790798928,"X2260"
-19290.6067801232,-3095.21457180707,10884.1189126539,-3623.68247783261,9270.02344213883,"X2280"
-13725.5436939757,-4656.58103259227,4312.69574647195,-4615.17982051875,5378.7840080025,"X2300"
-14816.9656967914,-3971.80072626291,4170.41428842563,-4450.88241633026,6038.00177978719,"X2320"
10467.3389610813,22043.1755107909,38134.9513175055,23327.8218906092,8565.45474763905,"X2340"
-19717.3144427626,-11244.5862623398,-2834.10724483427,-11387.5800130071,5103.86377286311,"X2360"
-34670.4177336374,-25301.7668043033,-17329.7785370098,-25587.3243469755,5596.1558534596,"X2380"
-43303.1208530055,-33004.7774966136,-22914.0371748305,-33072.369701389,6244.13140777807,"X2400"
